Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), F_{Drag} (lbs), F_{Side} (lbs), F_{Lift} (lbs), L/D, F_{Aero x} (lbs), F_{Aero y} (lbs), F_{Aero z} (lbs), F_{Prop x} (lbs), F_{Prop y} (lbs), F_{Prop z} (lbs), F_{Gear x} (lbs), F_{Gear y} (lbs), F_{Gear z} (lbs), F_{Ext x} (lbs), F_{Ext y} (lbs), F_{Ext z} (lbs), F_{Buoyant x} (lbs), F_{Buoyant y} (lbs), F_{Buoyant z} (lbs), F_{Total x} (lbs), F_{Total y} (lbs), F_{Total z} (lbs), L_{Aero} (ft-lbs), M_{Aero} ( ft-lbs), N_{Aero} (ft-lbs), L_{Prop} (ft-lbs), M_{Prop} (ft-lbs), N_{Prop} (ft-lbs), L_{Gear} (ft-lbs), M_{Gear} (ft-lbs), N_{Gear} (ft-lbs), L_{ext} (ft-lbs), M_{ext} (ft-lbs), N_{ext} (ft-lbs), L_{Buoyant} (ft-lbs), M_{Buoyant} (ft-lbs), N_{Buoyant} (ft-lbs), L_{Total} (ft-lbs), M_{Total} (ft-lbs), N_{Total} (ft-lbs), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), ECEF X (ft), ECEF Y (ft), ECEF Z (ft), EPA (deg), Distance AGL (ft), Terrain Radius (ft), IO470D Power Available (engine 0 in HP), IO470D HP (engine 0), IO470D equivalent ratio (engine 0), IO470D MAP (engine 0 in inHg), Clark Y 0.10 t/c ratio variable pitch Torque (engine 0), Clark Y 0.10 t/c ratio variable pitch PFactor Pitch (engine 0), Clark Y 0.10 t/c ratio variable pitch PFactor Yaw (engine 0), Clark Y 0.10 t/c ratio variable pitch Thrust (engine 0 in lbs), Clark Y 0.10 t/c ratio variable pitch Pitch (engine 0), Clark Y 0.10 t/c ratio variable pitch RPM (engine 0), IO470D Power Available (engine 1 in HP), IO470D HP (engine 1), IO470D equivalent ratio (engine 1), IO470D MAP (engine 1 in inHg), Clark Y 0.10 t/c ratio variable pitch Torque (engine 1), Clark Y 0.10 t/c ratio variable pitch PFactor Pitch (engine 1), Clark Y 0.10 t/c ratio variable pitch PFactor Yaw (engine 1), Clark Y 0.10 t/c ratio variable pitch Thrust (engine 1 in lbs), Clark Y 0.10 t/c ratio variable pitch Pitch (engine 1), Clark Y 0.10 t/c ratio variable pitch RPM (engine 1), long-gc-rad, lat-gc-rad, h-agl-ft
0.5790000018, 0.0129735327563716, -1.6079382572064214, -0.0011328169991806, 0.0579370035829039, -7.2574295529520283, -0.0050938056845538, 0.2946451768, 432391.7555, 19.2483661412, 1526.98477679, 0.0975939711090077, 0.0003305332629808, 19.2481187240084640, 0.0975939711090077, 0.0003305332629808, 19.2481187240084640, -0.0200698899879249, -0.0065877777585582, 18.5140148604167050, -9.431003571 , -0.0005933678476 , -25.02554131, 2.653539586, 24.98391364 , -0.0007317077781 , -9.540733728, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 24.9839136421271450, -0.0007317077781375, -9.5407337280395250, 13.46718121 , -262.5849609 , -1.337157845, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 13.4671812057495120, -262.5849609375000000, -1.3371578454971313, 13118.69261951, 13118.692482881, 0.0031774261446247, -0.2206899343513964, 199.9996926634341900, 89.709495544434, 0.00098388409242034, -7.0071004538057e-009, -2.2462672761418e-009, 20938768.6926195100000000, -0.0008208993911407, -0.0025607480273100, 0.0025152006565792, 13118.692482881, 20925650.000137, -825, -1.5, 0, 27.79, 0, -0, -0, -0, 11, 0, -825, -1.5, 0, 27.79, 0, -0, -0, -0, 11, 0, -3.920475952e-011, -1.222969729e-010, 13118.69238
1.001000009, 0.0392621087092958, -6.2053687187257189, -0.0042008216870877, -0.0076460508032707, -13.1050927677459350, -0.0021163081596048, 0.8503715653, 734645.0465, 32.6945890335, 1527.18367523, 1.1148148732653136, 0.0088656111458660, 32.6755759133766330, 1.1148148732653136, 0.0088656111458660, 32.6755759133766330, -0.0879415019873295, -0.0292119901770573, 31.9630701652369670, -28.12369156 , -0.02348539233 , -66.61534119, 2.36865566, 65.69308141 , -0.03072043006 , -30.21530056, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 65.6930814106538610, -0.0307204300628362, -30.2153005622053500, -1.679657221 , -474.162323 , 0.1463558823, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -1.6796572208404541, -474.1623229980468700, 0.1463558822870255, 13107.969782796, 13107.969795965, 0.0203627927921081, -1.7842265051005568, 199.9977096522141300, 88.045959472656, 0.015536580234766, -6.5340893337712e-008, -2.1423204576628e-008, 20938757.9697827960000000, -0.0078291157842193, -0.0238788467689548, 0.0042783479875559, 13107.969795965, 20925649.999987, -825, -1.5, 0, 26.0476, 0, -0, -0, -0, 11, 0, -825, -1.5, 0, 26.0476, 0, -0, -0, -0, 11, 0, -3.73905453e-010, -1.140413715e-009, 13107.96973
1.418000013, 0.0352373947141674, -11.7426984290698840, -0.0052242336625169, -0.0116989997324881, -12.9817870792508960, -0.0025050406172636, 1.661876599, 1027168.835, 45.6941149899, 1527.47003685, 4.5985738572076489, 0.0232064997130673, 45.4621240665725420, 4.5985738572076489, 0.0232064997130673, 45.4621240665725420, -0.2233275051244421, -0.0757347559667336, 45.1876742244941810, -56.24953461 , -0.08846575767 , -122.2160568, 2.172747876, 116.164801 , -0.1165437425 , -67.87125941, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 116.1648010176576100, -0.1165437424549919, -67.8712594066416700, -2.491845608 , -469.7009277 , 0.5684707761, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.4918456077575684, -469.7009277343750000, 0.5684707760810852, 13092.123870783, 13092.123564936, 0.0359337002469317, -5.4694645939895956, 199.9939050653741200, 84.224075317383, 0.029098594561219, -2.2929683733128e-007, -7.648448435458e-008, 20938742.1238707830000000, -0.0279512539034773, -0.0837965264928552, 0.0059913584125193, 13092.123564936, 20925650.000306, -825, -1.5, 0, 24.624, 0, -0, -0, -0, 11, 0, -825, -1.5, 0, 24.624, 0, -0, -0, -0, 11, 0, -1.334906067e-009, -4.001984742e-009, 13092.12402
1.852000025, 0.0291196898902835, -16.5415336130489230, -0.0058988860200887, -0.0161288703781885, -9.0396702885077271, -0.0002626397414512, 2.807317814, 1335321.01, 59.3677856433, 1527.83644021, 12.5465913442768020, 0.0427656272536201, 58.0268488626576300, 12.5465913442768020, 0.0427656272536201, 58.0268488626576300, -0.5029560876201114, -0.1735623550126024, 58.8632878810046950, -95.53546143 , -0.2126001418 , -201.4290924, 2.108422249, 177.3395322 , -0.280753935 , -135.0975972, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 177.3395321868691800, -0.2807539350408586, -135.0975971795978400, -3.405647755 , -327.0690918 , 1.361764193, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -3.4056477546691895, -327.0690917968750000, 1.3617641925811768, 13069.574319359, 13069.574174605, 0.0510694572329521, -11.6716224470782880, 199.9866007070076000, 77.799301147461, 0.041273061186075, -6.3937880314835e-007, -2.1694938928421e-007, 20938719.5743193590000000, -0.0792840663665274, -0.2336607244178754, 0.0078046426534004, 13069.574174605, 20925650.000145, -825, -1.5, 0, 23.4619, 0, -0, -0, -0, 11, 0, -825, -1.5, 0, 23.4619, 0, -0, -0, -0, 11, 0, -3.786481121e-009, -1.115926519e-008, 13069.57422
2.262000024, 0.0216497170697344, -19.3020369953124450, -0.0050332015506844, -0.0195424269163355, -4.7069713953242074, 0.0044033780945667, 4.163900392, 1626694.045, 72.2719964845, 1528.19971391, 24.7374463641317560, 0.0629747234804067, 67.9065258824702200, 24.7374463641317560, 0.0629747234804067, 67.9065258824702200, -1.0173895454911239, -0.3559331710822571, 71.6729370214746950, -141.7962799 , -0.3804395795 , -302.5851746, 2.133942969, 237.3607098 , -0.5031965529 , -235.210024, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 237.3607098276064000, -0.5031965529164973, -235.2100240309756000, -4.238748074 , -170.3054199 , 2.391027212, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -4.2387480735778809, -170.3054199218750000, 2.3910272121429443, 13042.611633576, 13042.611395072, 0.0643402837880184, -19.1350104773715120, 199.9763452816020800, 69.983985900879, 0.049925092607737, -1.4730592049347e-006, -5.0700560540987e-007, 20938692.6116335690000000, -0.1852847543754966, -0.5383281960881708, 0.0095301872756836, 13042.611395072, 20925650.000239, -825, -1.5, 0, 22.5146, 0, -0, -0, -0, 11, 0, -825, -1.5, 0, 22.5146, 0, -0, -0, -0, 11, 0, -8.848917065e-009, -2.570973298e-008, 13042.61133
2.779000032, 0.0110005760263472, -20.4767738275678680, -0.0007287228820229, -0.0212803782967981, -0.2954527845709394, 0.0120757124168081, 6.204248533, 1986453.084, 88.1617089369, 1528.66377438, 45.2465219541149250, 0.0853034132431758, 75.6652621554629120, 45.2465219541149250, 0.0853034132431758, 75.6652621554629120, -2.0517000945200508, -0.7245405465391546, 87.6739432284626190, -212.5413208 , -0.6314499974 , -473.4403076, 2.227521245, 299.6838758 , -0.8368530228 , -423.6848019, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 299.6838757739070600, -0.8368530227757276, -423.6848019457246400, -5.027357101 , -10.68994141 , 3.809337616, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -5.0273571014404297, -10.6899414062500000, 3.8093376159667969, 13001.866853513, 13001.866600513, 0.0794141887581584, -29.4360400090474140, 199.9602671196656700, 59.12130355835, 0.055438198149204, -3.527652599898e-006, -1.2295395177156e-006, 20938651.8668534680000000, -0.4493332653467096, -1.2891750438944221, 0.011673539355988, 13001.866600513, 20925650.000253, -825, -1.5, 0, 21.7441, 0, -0, -0, -0, 11, 0, -825, -1.5, 0, 21.7441, 0, -0, -0, -0, 11, 0, -2.145951269e-008, -6.156915221e-008, 13001.86621
3.23800004, -0.1828805917524434, -19.7418375578805900, 0.0224786883470332, -5.2399304903555599, 2.9811913094016518, 0.4786849749761258, 8.351960349, 2305771.229, 102.218292679, 1528.95651242, 67.0540499072457690, 0.0961963167831534, 77.1513090973653850, 67.0540499072457690, 0.0961963167831534, 77.1513090973653850, -3.6419759376222487, -1.2949590606624852, 101.6027094548548200, -286.0783691 , -0.8252232671 , -666.0924072, 2.328356419, 319.5231972 , -1.097740476 , -650.7106376, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 319.5231971876257300, -1.0977404755495139, -650.7106375782182100, -1218.653198 , 107.8647461 , 124.1238937, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -1218.6531982421875000, 107.8647460937500000, 124.1238937377929700, 12958.18346088, 12958.183278646, 0.0888928441955490, -38.7815975259558670, 199.9450847155101800, 49.005313873291, 0.053920328617096, -7.0420022208476e-006, -2.475474076983e-006, 20938608.1834607010000000, -0.9046561852594047, -2.5734831662888471, 0.01360380965383, 12958.183278646, 20925650.000182, -825, -1.5, 0, 21.1193, 0, -0, -0, -0, 11, 0, -825, -1.5, 0, 21.1193, 0, -0, -0, -0, 11, 0, -4.320517282e-008, -1.229061236e-007, 12958.18359
3.660000045, -5.2071173931236832, -18.0082429710961560, 0.7271911345002248, -11.9183788945610660, 4.9833805417147659, 2.1094697774279978, 10.5457326, 2592137.169, 114.77756823, 1528.96343543, 87.7370999674836160, -1.4798256997075918, 73.9858200868725080, 87.7370999674836160, -1.4798256997075918, 73.9858200868725080, -5.6976240906801436, -2.1757302332275650, 114.1128412075079600, -364.6742554 , 13.87664986 , -877.7041626, 2.406816905, 292.6515379 , 18.18213292 , -904.1951986, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 292.6515378705335600, 18.1821329150741810, -904.1951985727793000, -2820.314453 , 182.5571289 , 258.3509521, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2820.3144531250000000, 182.5571289062500000, 258.3509521484375000, 12912.76844231, 12912.768408455, -1.2074623257744026, -46.7564123153203890, 200.2051003307939500, 40.139839172363, -0.73873424530029, -1.2356396841795e-005, -4.445351280605e-006, 20938562.7684417590000000, -1.6245396574882152, -4.5156064000474547, 0.015362778906063, 12912.768408455, 20925650.000034, -825, -1.5, 0, 20.6143, 0, -0, 0, -0, 11, 0, -825, -1.5, 0, 20.6143, 0, -0, 0, -0, 11, 0, -7.758601559e-008, -2.156598067e-007, 12912.76855
4.077000049, -9.0762309445438056, -15.5837190798350280, 1.5379745927473114, 8.3760163230289528, 6.4537093606462967, 0.1881345203037129, 12.92528132, 2871157.978, 126.967050069, 1528.77763284, 107.5504871752653900, -6.3897261377087498, 67.1766024110435180, 107.5504871752653900, -6.3897261377087498, 67.1766024110435180, -8.3828891289690830, -3.3177494107722385, 126.1270128542594800, -458.7174377 , 67.83716583 , -1116.000122, 2.4328705, 212.3449756 , 89.95899406 , -1186.295417, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.3449756399084000, 89.9589940558541200, -1186.2954166460004000, 1847.808228 , 242.715332 , -444.9607544, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 1847.8082275390625000, 242.7153320312500000, -444.9607543945312500, 12862.544474315, 12862.54433772, -5.4289009458601623, -53.7585531846002520, 201.5709895399697600, 31.98911857605, -2.8846781253815, -2.0342326759063e-005, -7.5646956150623e-006, 20938512.5444728140000000, -2.7644876120213580, -7.4340215636898606, 0.017109213918173, 12862.54433772, 20925650.000137, -825, -1.5, 0, 20.2074, 0, -0, 0, -0, 11, 0, -825, -1.5, 0, 20.2074, 0, -0, 0, -0, 11, 0, -1.320288443e-007, -3.550405764e-007, 12862.54395
4.49300005, -8.8352898865725429, -12.7415845925173130, 1.3706853868659212, -12.5322139414316300, 7.2155573476905115, 0.1011273002218608, 15.44659758, 3140449.64, 138.67768379, 1528.55066501, 125.4587867137545600, -11.7996860992657360, 57.8995701690645600, 125.4587867137545600, -11.7996860992657360, 57.8995701690645600, -11.8422725997152010, -4.5647799882770581, 137.6754730741039900, -562.7518921 , 138.8958588 , -1380.248535, 2.452676845, 86.16648651 , 185.6188924 , -1482.966194, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 86.1664865095208370, 185.6188923803382500, -1482.9661935620011000, -2983.728271 , 268.7683105 , -353.7225952, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2983.7282714843750000, 268.7683105468750000, -353.7225952148437500, 12808.065968301, 12808.065851904, -10.8548759398418450, -59.4768182306609390, 204.1376453976310800, 24.773452758789, -4.8810353279114, -3.1694254645914e-005, -1.1972302050036e-005, 20938458.0659646430000000, -4.3752182870664793, -11.5825078537293570, 0.018834758556021, 12808.065851904, 20925650.000116, -825, -1.5, 0, 19.8816, 0, -0, 0, -0, 11, 0, -825, -1.5, 0, 19.8816, 0, -0, 0, -0, 11, 0, -2.08956088e-007, -5.531690928e-007, 12808.06543
